file,line_total,line_covered,line_percent,function_total,function_covered,function_percent,branch_total,branch_covered,branch_percent,line_missing,branch_missing,function_missing,html_report
src/adaptivecache.c,118,34,28.8,16,7,43.8,188,4,2.1,84,184,9,/tmp/relay-coverage.adaptivecache.c.43ff03c9187189030785ba43567aaeaf.html
src/adaptivecache_arginfo.h,37,37,100.0,1,1,100.0,18,9,50.0,0,9,0,/tmp/relay-coverage.adaptivecache_arginfo.h.37de356dbc141d66b1dbf9c33bb03c67.html
src/cache.c,1625,1106,68.1,158,124,78.5,1196,613,51.3,519,583,34,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html
src/cache.h,22,17,77.3,8,6,75.0,6,2,33.3,5,4,2,/tmp/relay-coverage.cache.h.2be07c6c5c0b409ecd3a3282d43da6d8.html
src/cluster.c,2181,1531,70.2,385,325,84.4,3078,1072,34.8,650,2006,60,/tmp/relay-coverage.cluster.c.c5a5a9be182c4489df78ebd6b6f9581f.html
src/cluster_arginfo.h,1191,1191,100.0,2,2,100.0,4,2,50.0,0,2,0,/tmp/relay-coverage.cluster_arginfo.h.344498a0f674ef80337913b9dfdfcc3b.html
src/cms.c,216,9,4.2,22,2,9.1,173,2,1.2,207,171,20,/tmp/relay-coverage.cms.c.ab58d9b87805cd337763faadb222b7f0.html
src/cms.h,19,0,0.0,3,0,0.0,8,0,0.0,19,8,3,/tmp/relay-coverage.cms.h.88ed0b70cec6e74f22730792964e8806.html
src/command.c,390,322,82.6,48,41,85.4,268,166,61.9,68,102,7,/tmp/relay-coverage.command.c.863537c156e2ae2f323133fe1f151a12.html
src/command.h,8,8,100.0,3,3,100.0,2,2,100.0,0,0,0,/tmp/relay-coverage.command.h.d7b13f39dc15bd2ec2affed5aa0e1808.html
src/command_table.c,984,792,80.5,4,4,100.0,1271,765,60.2,192,506,0,/tmp/relay-coverage.command_table.c.3c335cb7aff71d4d39d8a7493d2fae8c.html
src/commands.c,9942,5609,56.4,600,436,72.7,18281,6255,34.2,4333,12026,164,/tmp/relay-coverage.commands.c.8ee6625c91aaa30bedff56adf0c6990d.html
src/commands.h,7,7,100.0,0,0,,261,122,46.7,0,139,0,/tmp/relay-coverage.commands.h.aa1da719ba38535d1fd1e7e85df90e71.html
src/crc16.h,5,5,100.0,1,1,100.0,2,2,100.0,0,0,0,/tmp/relay-coverage.crc16.h.992984667094dcbc36c72c5cc74ccf7f.html
src/events_arginfo.h,39,39,100.0,3,3,100.0,10,5,50.0,0,5,0,/tmp/relay-coverage.events_arginfo.h.d584336baf9c7bf4e80237fc836f4bcb.html
src/heartbeat.c,604,48,7.9,55,7,12.7,452,46,10.2,556,406,48,/tmp/relay-coverage.heartbeat.c.151734bad550a8d8276063151e47938f.html
src/hyperloglog.c,320,5,1.6,23,1,4.3,178,1,0.6,315,177,22,/tmp/relay-coverage.hyperloglog.c.462c5d32a60fc19ab66af79241a50c82.html
src/hyperloglog.h,2,2,100.0,1,1,100.0,0,0,,0,0,0,/tmp/relay-coverage.hyperloglog.h.f0b0f3cf5f5859ef74449c65ce904417.html
src/keylease.c,82,62,75.6,12,10,83.3,62,29,46.8,20,33,2,/tmp/relay-coverage.keylease.c.d95b08b5d9c955c5bb0841e8d748395d.html
src/keys.c,1300,701,53.9,123,87,70.7,1076,422,39.2,599,654,36,/tmp/relay-coverage.keys.c.dff1c170fd74ff9dbfffe53450cfbee2.html
src/keys.h,66,35,53.0,21,13,61.9,68,20,29.4,31,48,8,/tmp/relay-coverage.keys.h.0e6a6722715d051ae735a0fa372a96a9.html
src/liblzf/lzf_c.c,84,80,95.2,1,1,100.0,74,55,74.3,4,19,0,/tmp/relay-coverage.lzf_c.c.687822d0d6475f9e0bfdd245a85b6dfc.html
src/liblzf/lzf_d.c,86,83,96.5,1,1,100.0,66,50,75.8,3,16,0,/tmp/relay-coverage.lzf_d.c.46badfc2e9c117bd40b17f15b265274d.html
src/lock.c,136,70,51.5,15,8,53.3,63,22,34.9,66,41,7,/tmp/relay-coverage.lock.c.c80b9b761a8d309673505369199f569c.html
src/log.c,277,25,9.0,25,4,16.0,141,11,7.8,252,130,21,/tmp/relay-coverage.log.c.1ea4ab8e36c3833facd6b9991b2de710.html
src/log.h,2,0,0.0,1,0,0.0,0,0,,2,0,1,/tmp/relay-coverage.log.h.91d04f90c2f8ea6e6ac737adac8df860.html
src/pack.c,401,344,85.8,41,38,92.7,308,193,62.7,57,115,3,/tmp/relay-coverage.pack.c.18157d9a2b5ee3f61ffd6c949d26b55c.html
src/pack.h,7,7,100.0,3,3,100.0,2,2,100.0,0,0,0,/tmp/relay-coverage.pack.h.99139b32a4267f5154df570b4bde5340.html
src/panic.c,20,0,0.0,3,0,0.0,10,0,0.0,20,10,3,/tmp/relay-coverage.panic.c.d7fe498e8f8274bc5ad85431fea962ad.html
src/php_relay.h,60,37,61.7,16,11,68.8,42,15,35.7,23,27,5,/tmp/relay-coverage.php_relay.h.fe0ed8346b053960e79ed667db60451d.html
src/rbtree.c,239,221,92.5,21,19,90.5,120,95,79.2,18,25,2,/tmp/relay-coverage.rbtree.c.ebfd0b4c6b942b4452c3cb370fe50daa.html
src/rbtree.h,10,10,100.0,5,5,100.0,2,2,100.0,0,0,0,/tmp/relay-coverage.rbtree.h.92875b9a67014c15fd6ff138331a812d.html
src/reader.c,210,17,8.1,23,2,8.7,177,3,1.7,193,174,21,/tmp/relay-coverage.reader.c.da5e6a627590a190eccc1e63cb94a55e.html
src/relay.c,4088,2714,66.4,696,516,74.1,3605,1471,40.8,1374,2134,180,/tmp/relay-coverage.relay.c.eac39cbe72aad25ebe57f6e92e1f052c.html
src/relay_arginfo.h,1581,1581,100.0,3,3,100.0,16,8,50.0,0,8,0,/tmp/relay-coverage.relay_arginfo.h.aa6b1102de8ac0fcd9287bb570981387.html
src/relay_id.c,2,2,100.0,1,1,100.0,0,0,,0,0,0,/tmp/relay-coverage.relay_id.c.908f821a1aa2843a34f35398ceb2a2fc.html
src/reply.c,158,107,67.7,13,12,92.3,139,74,53.2,51,65,1,/tmp/relay-coverage.reply.c.7639007208dfb930a55a0075b6c47eff.html
src/reply.h,25,24,96.0,8,8,100.0,34,27,79.4,1,7,0,/tmp/relay-coverage.reply.h.a621c548d94aa0943cf8ad57b1c6a08f.html
src/sentinel.c,250,4,1.6,36,1,2.8,410,0,0.0,246,410,35,/tmp/relay-coverage.sentinel.c.baeebf67064b856a68ff3ef70919c241.html
src/sentinel_arginfo.h,70,70,100.0,1,1,100.0,0,0,,0,0,0,/tmp/relay-coverage.sentinel_arginfo.h.eed491d06cc0a50ea188c987ad485a11.html
src/session.c,417,11,2.6,33,1,3.0,329,0,0.0,406,329,32,/tmp/relay-coverage.session.c.5cffc2c52de5b9d9ca09e86e6998561d.html
src/shmalloc.c,343,265,77.3,48,42,87.5,192,89,46.4,78,103,6,/tmp/relay-coverage.shmalloc.c.7c33a4c9b04058577e002461517b421c.html
