file,line,function,html_report
src/adaptivecache.c,103,relayAdaptiveCacheSetOptions,/tmp/relay-coverage.adaptivecache.c.43ff03c9187189030785ba43567aaeaf.html#l103
src/adaptivecache.c,56,updateProperties,/tmp/relay-coverage.adaptivecache.c.43ff03c9187189030785ba43567aaeaf.html#l56
src/adaptivecache.c,123,zim_Relay_AdaptiveCache___construct,/tmp/relay-coverage.adaptivecache.c.43ff03c9187189030785ba43567aaeaf.html#l123
src/adaptivecache.c,127,zim_Relay_AdaptiveCache_flush,/tmp/relay-coverage.adaptivecache.c.43ff03c9187189030785ba43567aaeaf.html#l127
src/adaptivecache.c,178,zim_Relay_AdaptiveCache_incrBy,/tmp/relay-coverage.adaptivecache.c.43ff03c9187189030785ba43567aaeaf.html#l178
src/adaptivecache.c,148,zim_Relay_AdaptiveCache_lastFlush,/tmp/relay-coverage.adaptivecache.c.43ff03c9187189030785ba43567aaeaf.html#l148
src/adaptivecache.c,159,zim_Relay_AdaptiveCache_loadFactor,/tmp/relay-coverage.adaptivecache.c.43ff03c9187189030785ba43567aaeaf.html#l159
src/adaptivecache.c,207,zim_Relay_AdaptiveCache_stats,/tmp/relay-coverage.adaptivecache.c.43ff03c9187189030785ba43567aaeaf.html#l207
src/adaptivecache.c,119,zm_shutdown_relay_adaptivecache,/tmp/relay-coverage.adaptivecache.c.43ff03c9187189030785ba43567aaeaf.html#l119
src/cache.c,2979,cacheRhsResetPreallocated,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l2979
src/cache.c,2955,cacheRhsUnwind,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l2955
src/cache.c,216,ckRhsResetPreallocated,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l216
src/cache.c,3158,cmsEntryCreate,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l3158
src/cache.c,3171,cmsEntryFree,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l3171
src/cache.c,3189,cmsEntryGet,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l3189
src/cache.c,3143,cmsEntryLoadCms,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l3143
src/cache.c,3153,cmsEntryStoreCms,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l3153
src/cache.c,3128,cmsEntryTryPush,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l3128
src/cache.c,2663,relayCacheRelease,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l2663
src/cache.c,2195,relayCmsKeyStats,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l2195
src/cache.c,3203,relayCmsStackGetOrCreate,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l3203
src/cache.c,980,relayCreateSSLContext,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l980
src/cache.c,3119,relayEndpointDetachWriter,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l3119
src/cache.c,2803,relayEndpointFreeCache,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l2803
src/cache.c,2753,relayEndpointGetZStr,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l2753
src/cache.c,2762,relayEndpointGetZStrEx,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l2762
src/cache.c,2123,relayEndpointInvalidate,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l2123
src/cache.c,2095,relayEndpointInvalidateDBKey,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l2095
src/cache.c,2130,relayEndpointInvalidateLeases,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l2130
src/cache.c,483,relayEndpointNext,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l483
src/cache.c,2515,relayEvictionPolicyToString,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l2515
src/cache.c,909,relayLinkPathErrorSet,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l909
src/cache.c,1037,relayNegotiateTLS,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l1037
src/cache.c,1372,relayPLinkCmp,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l1372
src/cache.c,1830,relayPushAutoFree,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l1830
src/cache.c,1805,relayRedisInfoCopy,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l1805
src/cache.c,112,relayReserveMapContainer,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l112
src/cache.c,3369,relayReserveMapsRelease,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l3369
src/cache.c,2934,relayRhsRemoveBatch,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l2934
src/cache.c,1796,relayTlsCfgAddrefs,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l1796
src/cache.c,1789,relay_zstr_addref_nonnull,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l1789
src/cache.c,3277,reserveMapsPop,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l3277
src/cache.c,3262,reserveMapsPush,/tmp/relay-coverage.cache.c.b0389f00813b8dd16d1cf5cf8ba1502d.html#l3262
src/cache.h,436,relayCmsKeyStatsZStr,/tmp/relay-coverage.cache.h.2be07c6c5c0b409ecd3a3282d43da6d8.html#l436
src/cache.h,336,relayLinkHasError,/tmp/relay-coverage.cache.h.2be07c6c5c0b409ecd3a3282d43da6d8.html#l336
